"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"161","Euphyllia ancora","Euphylliidae",NA,NA,NA,NA,16,45,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Euphyllia cristata","Euphylliidae",NA,NA,NA,NA,20,25,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Euphyllia divisa","Euphylliidae",NA,NA,NA,NA,NA,22,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Euphyllia glabrescens","Euphylliidae",NA,NA,NA,NA,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.75"
"165","Dipsastraea danai","Merulinidae",NA,NA,NA,NA,6.8,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.43"
"166","Dipsastraea favus","Merulinidae",NA,NA,NA,NA,1,1,NA,NA,1200,1200,NA,NA,NA,NA,NA,NA,"32.05"
"167","Dipsastraea helianthoides","Merulinidae",NA,NA,NA,NA,6.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Dipsastraea laxa","Merulinidae",NA,NA,NA,NA,3.8,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.5"
"169","Dipsastraea lizardensis","Merulinidae",NA,NA,NA,NA,10,16.7,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"76"
"170","Dipsastraea maritima","Merulinidae",NA,NA,NA,NA,13.8,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.73"
"171","Dipsastraea matthaii","Merulinidae",NA,NA,NA,NA,8.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.87"
"172","Dipsastraea maxima","Merulinidae",NA,NA,NA,NA,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"173","Dipsastraea pallida","Merulinidae",NA,NA,0.314166666666667,0.344166666666667,6.8,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.04"
"174","Dipsastraea rosaria","Merulinidae",NA,NA,NA,NA,6.1,9.3,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Dipsastraea rotumana","Merulinidae",NA,NA,NA,NA,8.8,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.04"
"176","Favites rotundata","Merulinidae",NA,NA,NA,NA,16.2,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.34"
"177","Dipsastraea speciosa","Merulinidae",NA,NA,-2.75,3.85,7.5,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.6"
"178","Goniastrea stelligera","Merulinidae",NA,NA,NA,NA,3.2,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.18"
"179","Dipsastraea truncata","Merulinidae",NA,NA,NA,NA,9,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Dipsastraea veroni","Merulinidae",NA,NA,NA,NA,10,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Dipsastraea vietnamensis","Merulinidae",NA,NA,NA,NA,4.8,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Favites abdita","Merulinidae",NA,NA,NA,NA,7.5,15,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"26.03"
"183","Favites chinensis","Merulinidae",NA,NA,NA,NA,7.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.37"
"184","Favites complanata","Merulinidae",NA,NA,NA,NA,8,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.28"
"185","Favites flexuosa","Merulinidae",NA,NA,NA,NA,13.2,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.34"
"186","Favites halicora","Merulinidae",NA,NA,NA,NA,10.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.66"
"187","Favites pentagona","Merulinidae",NA,NA,NA,NA,3.8,8.5,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"27.07"
"188","Paragoniastrea russelli","Merulinidae",NA,NA,NA,NA,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Lithophyllon concinna","Fungiidae",NA,NA,NA,NA,NA,160,16,16,NA,NA,NA,NA,NA,NA,NA,NA,"6.33"
"190","Danafungia scruposa","Fungiidae",NA,NA,NA,NA,NA,111,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Danafungia scruposa","Fungiidae",NA,NA,NA,NA,NA,111,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Heliofungia fralinae","Fungiidae",NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Pleuractis granulosa","Fungiidae",NA,NA,0.0641666666666667,1.28666666666667,NA,120,13.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Pleuractis gravis","Fungiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Danafungia horrida","Fungiidae",NA,NA,NA,NA,NA,204,20,20,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"196","Danafungia horrida","Fungiidae",NA,NA,NA,NA,NA,204,20,20,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"197","Pleuractis moluccensis","Fungiidae",NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Pleuractis paumotensis","Fungiidae",NA,NA,NA,NA,NA,235,25,25,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"199","Lithophyllon repanda","Fungiidae",NA,NA,NA,NA,150,150,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Lithophyllon scabra","Fungiidae",NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Lobactis scutaria","Fungiidae",NA,NA,-10.425,11.775,NA,169,17,17,NA,NA,NA,NA,NA,NA,NA,NA,"2.75"
"202","Galaxea acrhelia","Euphylliidae",NA,NA,NA,NA,4.7,5.4,50,200,NA,NA,NA,NA,NA,NA,NA,NA,"29.85"
"203","Galaxea astreata","Euphylliidae",NA,NA,NA,NA,3.4,3.7,100,200,NA,NA,NA,NA,NA,NA,NA,NA,"47.59"
"204","Galaxea fascicularis","Euphylliidae",NA,NA,NA,NA,5.8,10.7,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"25.43"
"205","Galaxea horrescens","Euphylliidae",NA,NA,NA,NA,2.5,2.9,200,200,NA,NA,NA,NA,NA,NA,NA,NA,"28.51"
"206","Galaxea longisepta","Euphylliidae",NA,NA,NA,NA,4.7,7.6,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Gardineroseris planulata","Agariciidae",1.288,1.972,-8.20151151429023,9.57651151429023,1.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.31"
"208","Coelastrea aspera","Merulinidae",NA,NA,-2.83166666666667,3.49833333333333,8.5,11.5,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"14.27"
"209","Paragoniastrea australensis","Merulinidae",NA,NA,0.233333333333333,0.241666666666667,8.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
