"","species_COTW","species_old","species_new","family_old","family_new","major_clade"
"154","Echinophyllia echinoporoides","Echinophyllia echinoporoides","Echinophyllia echinoporoides","Pectiniidae","Lobophylliidae","robust"
"155","Echinophyllia orpheensis","Echinophyllia orpheensis","Echinophyllia orpheensis","Pectiniidae","Lobophylliidae","robust"
"156","Echinophyllia tarae","NA","NA","NA","NA","NA"
"157","Echinopora gemmacea","Echinopora gemmacea","Echinopora gemmacea","Faviidae","Merulinidae","robust"
"158","Echinopora hirsutissima","Echinopora hirsutissima","Echinopora hirsutissima","Faviidae","Merulinidae","robust"
"159","Echinopora horrida","Echinopora horrida","Echinopora horrida","Faviidae","Merulinidae","robust"
"160","Echinopora lamellosa","Echinopora lamellosa","Echinopora lamellosa","Faviidae","Merulinidae","robust"
"161","Echinopora mammiformis","Echinopora mammiformis","Echinopora mammiformis","Faviidae","Merulinidae","robust"
"162","Echinopora pacificus","Echinopora pacificus","Echinopora pacificus","Faviidae","Merulinidae","robust"
"163","Euphyllia ancora","Euphyllia ancora","Euphyllia ancora","Euphylliidae","Euphylliidae","complex"
"164","Euphyllia cristata","Euphyllia cristata","Euphyllia cristata","Euphylliidae","Euphylliidae","complex"
"165","Euphyllia divisa","Euphyllia divisa","Euphyllia divisa","Euphylliidae","Euphylliidae","complex"
"166","Euphyllia glabrescens","Euphyllia glabrescens","Euphyllia glabrescens","Euphylliidae","Euphylliidae","complex"
"167","Favia amicorum","NA","NA","NA","NA","NA"
